language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.96  T=0.44 s (1109.7 files/s 382773.6 lines/s)"
JSON,./dashboards/dashboards/a16110b0-3f99-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/b50c8d17-6ed3-4de6-aed4-5181032810b2.json,0,0,210
JSON,./dashboards/dashboards/b9f247c0-3f99-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/d41fe630-3f98-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/d4fd6afd-15cb-42bf-8a25-03dd8e59b327.json,0,0,210
JSON,./dashboards/dashboards/e09a4b86-29b5-4256-bb3b-802ac9f90404.json,0,0,210
JSON,./dashboards/dashboards/f394057d-1b16-4174-b994-7045f423a416.json,0,0,210
JSON,./dashboards/dashboards/beats/0d4955f0-eb25-11ec-a6d4-b3526526c2c7.json,0,0,209
SVG,./docs/images/logo/Malcolm_outline.svg,1,1,209
Python,./shared/bin/suricata_update_config_populate.py,38,30,209
Bourne Shell,./malcolm-iso/build.sh,34,14,199
Dockerfile,./Dockerfiles/arkime.Dockerfile,22,13,198
SVG,./docs/images/logo/Malcolm.svg,1,1,197
CSS,./name-map-ui/site/mapping.css,34,1,194
Bourne Shell,./shared/bin/self_signed_key_gen.sh,51,16,193
Python,./shared/bin/opensearch_read_only.py,19,27,191
Dockerfile,./Dockerfiles/nginx.Dockerfile,29,29,190
HTML,./sensor-iso/interface/sensor_interface/templates/buttons.html,11,0,184
Ruby,./logstash/ruby/netbox_enrich.rb,25,42,182
Bourne Shell,./sensor-iso/build.sh,35,18,181
Bourne Shell,./dashboards/scripts/create-arkime-sessions-index.sh,55,40,180
HTML,./file-upload/jquery-file-upload/index.html,0,36,179
Python,./shared/bin/zeek_intel_from_threat_feed.py,16,12,177
JSON,./dashboards/dashboards/beats/Filebeat-nginx-logs.json,0,0,176
INI,./htadmin/php/php.ini,42,4,174
INI,./file-upload/php/php.ini,42,4,173
Python,./shared/bin/sensorcommon.py,46,32,173
Bourne Shell,./shared/bin/zeekdeploy.sh,39,37,171
Python,./shared/bin/zeek_carved_http_server.py,35,28,166
Dockerfile,./Dockerfiles/suricata.Dockerfile,15,8,161
Bourne Shell,./scripts/malcolm_appliance_packager.sh,11,3,155
Bourne Shell,./nginx/scripts/docker_entrypoint.sh,42,45,154
Text,./docs/images/hedgehog/logo/font/ubuntumono/LICENCE-FAQ.txt,26,0,151
Dockerfile,./Dockerfiles/filebeat.Dockerfile,17,5,149
Bourne Shell,./scripts/github_image_helper.sh,26,28,142
Bourne Shell,./shared/bin/service_check_passthrough.sh,18,20,142
HTML,./sensor-iso/interface/sensor_interface/templates/system_block.html,10,4,140
JSON,./dashboards/dashboards/55e332d0-3f99-11e9-a58e-8bdedb0915e8.json,0,0,138
JSON,./dashboards/dashboards/ed8a6640-3f98-11e9-a58e-8bdedb0915e8.json,0,0,138
Bourne Again Shell,./malcolm-iso/config/hooks/normal/0991-security-performance.hook.chroot,28,27,132
YAML,./.github/workflows/malcolm-iso-build-docker-wrap-push-ghcr.yml,2,0,125
Markdown,./docs/development.md,36,0,124
Python,./logstash/scripts/ja3_build_list.py,21,12,123
SVG,./docs/images/icon/icon.svg,0,0,122
JavaScript,./sensor-iso/interface/sensor_interface/static/js/custom.js,21,1,122
Markdown,./docs/hedgehog-config-user.md,68,0,121
Bourne Shell,./shared/bin/preseed_late_user_config.sh,40,26,121
Python,./filebeat/scripts/filebeat-clean-zeeklogs-processed-folder.py,29,20,120
YAML,./.github/workflows/sensor-iso-build-docker-wrap-push-ghcr.yml,3,0,116
Dockerfile,./Dockerfiles/dashboards.Dockerfile,35,15,116
JSON,./dashboards/templates/malcolm_template.json,0,0,112
Markdown,./docs/contributing-local-modifications.md,12,0,110
Bourne Again Shell,./sensor-iso/config/hooks/normal/0991-security-performance.hook.chroot,29,28,109
Python,./netbox/config/configuration/configuration.py,48,100,108
Dockerfile,./Dockerfiles/logstash.Dockerfile,19,6,107
